AQW00061705       11343C
USC00020958        5762S
USC00021001        1899R
USC00021026        7149R
USC00021050        7614S
USC00021169        4874R
USC00021231        4808S
USC00021248        3821S
USC00021282        7009R
USC00021306        7217R
USC00021314        6969S
USC00021330        5791S
USC00021353        6990S
USC00021357        6139Q
USC00021514        7073R
USC00021574        2761R
USC00021614        5594R
USC00021654        4416Q
USC00021664        4805R
USC00021849        6276R
USC00021920        3860R
USC00022109        5157S
USC00022140        4980S
USC00022329        3732R
USC00022434        7160R
USC00022527        3804R
USC00022659        6083R
USC00022754        5497S
USC00022782        7215Q
USC00022790        7837R
USC00022807        7041R
USC00023009        2490R
USC00023027        7265R
USC00023110        5210Q
USC00023150        5882S
USC00023160        2350S
USC00023190        7153S
USC00023250        3841Q
USC00023303        3380R
USC00023393        7665S
USC00023505        5262R
USC00023596        2938S
USC00023668        6687R
USC00023683        2076R
USC00023828        2263R
USC00023961        3269Q
USC00024053        5057R
USC00024089        4227S
USC00024453        4705S
USC00024586        3457R
USC00024645        5170R
USC00024675        3721R
USC00024686        3646R
USC00024702        7756S
USC00024759        7846R
USC00024761        7750R
USC00024829        7508R
USC00024849        5371R
USC00024977        7303R
USC00025129        3227R
USC00025270        7145C
USC00025412        2565S
USC00025426        5934Q
USC00025512        6137R
USC00025635        5469S
USC00025665        4261R
USC00025700        7251R
USC00025780        2708R
USC00025825        4503Q
USC00025924        5661S
USC00026037        4269R
USC00026119        5232R
USC00026132        7124S
USC00026180        4596S
USC00026190        4139Q
USC00026194        7646Q
USC00026242        4168Q
USC00026250        7682R
USC00026353        5293R
USC00026468        4222S
USC00026471        6343S
USC00026513        7283R
USC00026597        2952R
USC00026601        3182Q
USC00026603        6924Q
USC00026616        4035S
USC00026653        4154R
USC00026716        4053S
USC00026796        4003R
USC00026840        6022R
USC00026865        7593R
USC00027281        6289S
USC00027370        7134R
USC00027390        5827S
USC00027435        3980S
USC00027480        6255R
USC00027488        3822R
USC00027560        5576R
USC00027593        5892R
USC00027619        5795R
USC00027625        5783R
USC00027708        5245R
USC00027716        4137S
USC00027855        3607S
USC00027880        5658R
USC00028012        4000C
USC00028018        3761R
USC00028112        6956R
USC00028162        3370R
USC00028214        6928R
USC00028329        2776S
USC00028348        6939R
USC00028396        7387S
USC00028468        4183R
USC00028499        7171R
USC00028516        6863R
USC00028619        5573S
USC00028641        7180R
USC00028792        4331R
USC00028795        6912R
USC00028796        6859R
USC00028800        6685R
USC00028815        7024S
USC00028817        6992R
USC00028865        5831S
USC00028904        5501R
USC00029114        5049R
USC00029156        3166Q
USC00029158        3867S
USC00029271        4373R
USC00029287        6132S
USC00029309        6129R
USC00029334        5480S
USC00029359        3042S
USC00029376        7495R
USC00029410        2908R
USC00029464        6982Q
USC00029542        4515S
USC00029634        7536S
USC00029645        6612S
USC00029652        7306R
USC00029656        7487R
USC00030064        4953S
USC00030130        5022S
USC00030220        5513R
USC00030240        5642S
USC00030458        4613S
USC00030460        5001R
USC00030536        5386S
USC00030582        5561R
USC00030586        4498R
USC00030618        4747Q
USC00030664        4835Q
USC00030764        4875R
USC00030798        5293S
USC00030806        5143S
USC00030832        5111S
USC00030936        5245R
USC00031102        5329R
USC00031132        4589S
USC00031140        5564R
USC00031152        5648S
USC00031191        5663R
USC00031442        5309R
USC00031455        5051R
USC00031457        4709Q
USC00031459        5145R
USC00031596        5206R
USC00031632        4964S
USC00031730        5611S
USC00031838        5415S
USC00031900        3920S
USC00031948        5439S
USC00031962        5799S
USC00031968        5428R
USC00032148        5712S
USC00032355        6120S
USC00032356        4686R
USC00032366        4940R
USC00032444        4719R
USC00032540        5286S
USC00032794        4850S
USC00032930        4836S
USC00032962        4861R
USC00032978        4900S
USC00033132        4960Q
USC00033242        5612R
USC00033428        5553S
USC00033466        5368S
USC00033544        4713S
USC00033734        4958S
USC00033821        5319S
USC00033862        5533S
USC00033909        4336Q
USC00034106        4311S
USC00034134        5353R
USC00034185        5710R
USC00034528        5131Q
USC00034548        5680S
USC00034562        5437R
USC00034572        4510S
USC00034638        5417S
USC00034666        4579R
USC00034711        5233Q
USC00034756        4897R
USC00034938        5090R
USC00034988        4907S
USC00035018        4817R
USC00035036        4730R
USC00035046        4941R
USC00035079        5103R
USC00035112        5748S
USC00035186        5088S
USC00035200        5134R
USC00035376        5779R
USC00035508        4938R
USC00035512        4904R
USC00035563        5018S
USC00035754        5649R
USC00035820        4736R
USC00035831        5009Q
USC00035866        5732S
USC00035908        5348S
USC00036174        5918Q
USC00036253        5668S
USC00036376        5513R
USC00036403        4548Q
USC00036506        5216S
USC00036562        5451S
USC00036768        5349R
USC00036920        5417S
USC00036928        5161S
USC00037488        5023S
USC00037582        5522S
USC00037712        5379S
USC00038010        5063Q
USC00038052        5107S
USC00038084        4809R
USC00040029        3079R
USC00040136        5120R
USC00040161        2912R
USC00040192        6218R
USC00040212        3789S
USC00040232        4654R
USC00040343        5180S
USC00040379        4748S
USC00040383        4586S
USC00040436        6875R
USC00040444        5416Q
USC00040449        4908R
USC00040521        5753R
USC00040673        4254S
USC00040693        3499R
USC00040738        3755R
USC00040741        2662S
USC00040755        2988Q
USC00040790        3609R
USC00040924        7376R
USC00040931        2648S
USC00040943        1988S
USC00040983        7211S
USC00041018        2717R
USC00041048        7401R
USC00041072        2648S
USC00041214        2998R
USC00041244        5386S
USC00041253        4932S
USC00041277        2479S
USC00041312        4450R
USC00041316        2991C
USC00041428        4633S
USC00041476        2774R
USC00041484        5494R
USC00041497        2601S
USC00041534        3983Q
USC00041606        3133R
USC00041614        2818S
USC00041697        3337S
USC00041700        2607R
USC00041715        4736R
USC00041738        6645Q
USC00041754        3414Q
USC00041758        5205R
USC00041806        3932R
USC00041838        4630R
USC00041864        5584S
USC00041912        3775S
USC00041948        4685R
USC00041967        4639R
USC00042012        5134S
USC00042081        3859S
USC00042147        1883S
USC00042214        4994R
USC00042239        3358R
USC00042294        4573S
USC00042319        8238R
USC00042331        3757R
USC00042338        3487R
USC00042402        3833R
USC00042410        7397Q
USC00042456        4127R
USC00042467        2399S
USC00042500        3398S
USC00042506        3068R
USC00042574        3526S
USC00042598        7730S
USC00042640        4329R
USC00042671        1709R
USC00042706        5860R
USC00042709        5690R
USC00042713        7682S
USC00042728        4534R
USC00042771        4786S
USC00042805        5689R
USC00042863        5765R
USC00042934        4499S
USC00042941        4731R
USC00043083        5236R
USC00043113        4819R
USC00043157        2595S
USC00043161        1649R
USC00043191        2490R
USC00043244        3976R
USC00043256        5379R
USC00043261        5045R
USC00043384        4127Q
USC00043392        5274Q
USC00043417        4599R
USC00043463        3691S
USC00043489        7901R
USC00043551        2141S
USC00043573        3601R
USC00043578        3981C
USC00043647        2311R
USC00043669        3704R
USC00043710        5522S
USC00043714        2422R
USC00043747        5097S
USC00043824        3233S
USC00043855        6854S
USC00043875        4448S
USC00043882        4125Q
USC00043896        5598R
USC00043914        4411R
USC00043939        3267S
USC00044025        4099R
USC00044176        1772R
USC00044211        3733S
USC00044223        7371S
USC00044232        5019S
USC00044259        8198R
USC00044278        5633R
USC00044297        7933S
USC00044303        5672Q
USC00044374        2538R
USC00044405        5763Q
USC00044412        3898Q
USC00044500        3802R
USC00044523        5046R
USC00044534        5428Q
USC00044555        4675S
USC00044577        1860R
USC00044647        5023R
USC00044671        2828S
USC00044712        4900R
USC00044713        2520R
USC00044735        5793R
USC00044838        2633S
USC00044881        2718R
USC00044890        5267C
USC00044957        5258R
USC00044997        4374S
USC00045026        1790S
USC00045032        4690R
USC00045064        3765R
USC00045118        5161S
USC00045120        5080R
USC00045123        4158S
USC00045233        4924R
USC00045280        1958R
USC00045311        2125S
USC00045360        4412S
USC00045378        4120S
USC00045385        5174R
USC00045449        3138R
USC00045502        7565R
USC00045532        4931S
USC00045679        2322S
USC00045721        5269S
USC00045756        5321R
USC00045790        6314R
USC00045795        2667S
USC00045802        2540R
USC00045853        4625Q
USC00045866        3611R
USC00045892        4244Q
USC00045915        4044R
USC00045933        3226S
USC00045968        3339Q
USC00046006        4147R
USC00046074        4231S
USC00046136        3624S
USC00046144        4009S
USC00046154        4650R
USC00046161        5440R
USC00046168        5394R
USC00046172        4588R
USC00046174        4946R
USC00046175        4446R
USC00046252        4386Q
USC00046263        5706R
USC00046336        3670R
USC00046370        3463Q
USC00046377        4003R
USC00046386        8180Q
USC00046399        4974R
USC00046498        2027R
USC00046506        4901S
USC00046508        3694R
USC00046521        4835R
USC00046569        4334R
USC00046572        4434R
USC00046599        3289R
USC00046610        3896R
USC00046624        5425S
USC00046635        7777S
USC00046646        3968R
USC00046657        3754S
USC00046685        4621S
USC00046699        7406S
USC00046719        6102R
USC00046730        4506S
USC00046773        5313R
USC00046826        3875S
USC00046926        4435R
USC00046943        2991R
USC00046960        4506R
USC00046962        4527R
USC00047050        5658R
USC00047077        5696R
USC00047085        2621S
USC00047109        4101S
USC00047150        4228S
USC00047195        3169R
USC00047228        4982R
USC00047253        5059S
USC00047306        5570S
USC00047339        4065R
USC00047404        3232S
USC00047414        3532R
USC00047470        6053R
USC00047473        5676R
USC00047641        2110R
USC00047643        4427S
USC00047668        3518R
USC00047689        4205R
USC00047723        5961R
USC00047741        4421Q
USC00047767        2296R
USC00047785        5750R
USC00047807        2790R
USC00047813        5526R
USC00047821        4322S
USC00047836        5566Q
USC00047846        5052R
USC00047851        3803S
USC00047874        5808R
USC00047880        3618R
USC00047888        5814S
USC00047902        4503R
USC00047916        3914S
USC00047953        4295S
USC00047957        4992R
USC00047965        4135S
USC00048025        3623Q
USC00048045        2986S
USC00048135        4896S
USC00048163        2694R
USC00048200        6625Q
USC00048207        2985R
USC00048218        2819Q
USC00048273        3116R
USC00048351        4120S
USC00048353        3992R
USC00048380        2426R
USC00048490        3233Q
USC00048560        4939R
USC00048587        4506R
USC00048606        2983S
USC00048655        5645R
USC00048702        3013R
USC00048713        4441R
USC00048752        5291R
USC00048758        1852S
USC00048826        3580R
USC00048829        3641Q
USC00048873        2491R
USC00048904        4968Q
USC00048917        4960S
USC00048928        3878R
USC00048999        4656Q
USC00049001        4960R
USC00049026        3498R
USC00049035        6337R
USC00049043        2430S
USC00049053        2676R
USC00049073        4973R
USC00049087        5129R
USC00049099        6624R
USC00049102        6917Q
USC00049105        1609R
USC00049111        4350R
USC00049122        4109S
USC00049152        5112S
USC00049200        4920S
USC00049325        5190R
USC00049351        2615Q
USC00049367        5209S
USC00049378        5079R
USC00049440        4255R
USC00049452        5436R
USC00049473        3487S
USC00049490        3606R
USC00049621        4772R
USC00049671        4670R
USC00049684        3084S
USC00049694        3840Q
USC00049699        5067R
USC00049742        5125C
USC00049781        4887R
USC00049785        5528Q
USC00049792        4464R
USC00049822        2820R
USC00049847        5719Q
USC00049855        3543R
USC00049859        4313Q
USC00049866        3277S
USC00050109        3325R
USC00050128        2460Q
USC00050185        1503R
USC00050214        2953S
USC00050263        1728S
USC00050301        3435R
USC00050306        3646Q
USC00050372        2006S
USC00050454        2034S
USC00050754        2255Q
USC00050776        2702R
USC00050797        2335R
USC00050825         855Q
USC00050834        3630R
USC00050848        3391S
USC00050945        3130S
USC00050950        3428S
USC00051017        2871R
USC00051018        2834Q
USC00051060        2227R
USC00051071        2409R
USC00051121        3535R
USC00051179        3373S
USC00051186        1163S
USC00051268        4288S
USC00051294        3650R
USC00051401        3081R
USC00051440        3171R
USC00051443        2771R
USC00051458        2332S
USC00051528        2830S
USC00051539        3914R
USC00051547        3342R
USC00051564        3775S
USC00051609        2570S
USC00051620        3360Q
USC00051660         727R
USC00051681        1424R
USC00051713        2138S
USC00051741        2932R
USC00051743        2958R
USC00051772        3778R
USC00051886        3251S
USC00051932        2485R
USC00051939        2070R
USC00051948        1967Q
USC00051959        1507S
USC00051964        2258R
USC00051977        1611Q
USC00051996        3647R
USC00052184        2028S
USC00052192        3319R
USC00052196        3496R
USC00052223        3722R
USC00052281        1509S
USC00052286        3110S
USC00052342        2885Q
USC00052432        3090R
USC00052441        2747R
USC00052446        3774R
USC00052631        2841R
USC00052759        2147R
USC00052761        1861Q
USC00052790        2392S
USC00052816        1300Q
USC00052932        3443R
USC00052947        3328R
USC00052965        1998R
USC00053005        3228S
USC00053006        3109R
USC00053016        2156R
USC00053038        3236R
USC00053116        1743R
USC00053146        3555R
USC00053246        3943R
USC00053258        3086Q
USC00053261        1695R
USC00053307        2820R
USC00053359        2831R
USC00053387        2103Q
USC00053446        1449Q
USC00053489        3849S
USC00053496        1748C
USC00053500        1767S
USC00053530        1728S
USC00053541        2244S
USC00053553        3835S
USC00053592        1839R
USC00053629        2127Q
USC00053662        2025R
USC00053867        2578C
USC00053951        1793R
USC00054054        1984R
USC00054076        4059R
USC00054082        3303S
USC00054135        1299R
USC00054172        3329R
USC00054242        3424R
USC00054250        3020R
USC00054254        2902Q
USC00054380        3532R
USC00054388        4127R
USC00054413        3665R
USC00054444        3476R
USC00054452        3495R
USC00054538        3928R
USC00054546        3947R
USC00054603        3719R
USC00054606        3650R
USC00054664        2102R
USC00054724        4215R
USC00054726        4101S
USC00054734        1874R
USC00054742        1788S
USC00054762        3533S
USC00054770        4130S
USC00054834        4258S
USC00054934        1975S
USC00054945        3273S
USC00055025        3276R
USC00055056        3325R
USC00055116        3283R
USC00055236        3100R
USC00055322        2502S
USC00055327        2464R
USC00055402        3306R
USC00055414        1845R
USC00055422        2918R
USC00055427        3008R
USC00055446        2635R
USC00055484        2459R
USC00055507        2018R
USC00055531        2896S
USC00055706        2354R
USC00055722        3137S
USC00055734        2505R
USC00055797         849R
USC00055922        3155R
USC00055934        2411R
USC00055970        2753R
USC00055984        3698R
USC00056012        2610S
USC00056023        3089R
USC00056040        1739Q
USC00056131        3856R
USC00056136        3769R
USC00056203        1934R
USC00056205        2109Q
USC00056258        2621R
USC00056259        2380Q
USC00056266        3742S
USC00056306        3251S
USC00056318        3472R
USC00056320        3449Q
USC00056323        3219R
USC00056326        3321R
USC00056520        2527Q
USC00056765        4037R
USC00056816        3136R
USC00056832        3081S
USC00056970        1840R
USC00056977        1621R
USC00057017        1641R
USC00057020        2496R
USC00057031        3350R
USC00057050        1638R
USC00057167        4248S
USC00057249        3131R
USC00057287        2979R
USC00057296        1829R
USC00057309        1502R
USC00057317        2556R
USC00057337        2213R
USC00057370        2757R
USC00057430        2517R
USC00057450        1336Q
USC00057515        3241S
USC00057519        3375Q
USC00057557        3185R
USC00057560        3227R
USC00057572        2368R
USC00057582        3760Q
USC00057656        1460R
USC00057848        1763R
USC00057866        4009R
USC00057936        2144S
USC00057950        3643R
USC00058008        3555R
USC00058022        3033R
USC00058064        1359R
USC00058157        4008S
USC00058184        1354R
USC00058204        1689S
USC00058290        3957R
USC00058429        3571S
USC00058436        3260R
USC00058501        1461R
USC00058560        3905R
USC00058575        1654R
USC00058582        2214R
USC00058690        2109R
USC00058756        1678S
USC00058781        3435S
USC00058793        4072S
USC00058839        3216S
USC00058860        2261Q
USC00058931        2273R
USC00058995        3331S
USC00059058        3460Q
USC00059060        3457Q
USC00059096        1867R
USC00059181         769R
USC00059243        3580R
USC00059265        1807R
USC00059275        3100R
USC00059278        2768Q
USC00059295        3628S
USC00060227        2724R
USC00060808        3231Q
USC00060961        3082R
USC00060973        3041S
USC00061762        3334R
USC00062658        2681R
USC00063207        3201R
USC00063420        2735Q
USC00064488        2933R
USC00064767        3285R
USC00065077        3335R
USC00065445        2376S
USC00065910        3174S
USC00067373        2415R
USC00067958        2786Q
USC00067970        3483R
USC00068138        2785R
USC00069388        2838R
USC00069568        2864R
USC00071200        3779Q
USC00072730        4307S
USC00073570        4094R
USC00073595        3956R
USC00075320        4460S
USC00075915        4064R
USC00076410        4143R
USC00079605        3780S
USC00080228        7927R
USC00080236        7778S
USC00080369        8009S
USC00080414        9708Q
USC00080478        8354S
USC00080598        6837Q
USC00080611        8233R
USC00080737        8335Q
USC00080945        8328R
USC00080992        8277Q
USC00081046        8030R
USC00081163        7535R
USC00081276        8424R
USC00081306        9580R
USC00081544        6778R
USC00081641        7917R
USC00081651        8268Q
USC00081654        8624R
USC00081795        9857P
USC00081858        8979R
USC00081978        7594R
USC00082008        6861R
USC00082046        9774Q
USC00082150        7593Q
USC00082220        6596R
USC00082229        7441R
USC00082298        8369S
USC00082418        9653R
USC00082441        9814R
USC00082850        9027R
USC00082915        7490R
USC00082944        7179S
USC00083020        9144R
USC00083026        7795Q
USC00083137        7893R
USC00083153        7861Q
USC00083163        9116S
USC00083168        9324R
USC00083207        8389R
USC00083322        7022R
USC00083470        6679S
USC00083874        6882S
USC00083909        9311S
USC00083956        7091R
USC00084050        9235Q
USC00084095        8798R
USC00084210        8346R
USC00084289        7458S
USC00084320        9775Q
USC00084366        7433R
USC00084394        6614S
USC00084412        9426Q
USC00084461        9130Q
USC00084625        7888S
USC00084662        7988R
USC00084707        8002R
USC00084731        6987S
USC00084802        8114R
USC00085076        7525S
USC00085099        7267R
USC00085184        8927R
USC00085275        6680S
USC00085359        7941Q
USC00085539        6966S
USC00085667        9185R
USC00085793        6178R
USC00085879        6544R
USC00085880        6519Q
USC00085895        8415R
USC00085973        8260R
USC00086065        8180S
USC00086078        8743R
USC00086129        6355Q
USC00086240        6350R
USC00086315        9183Q
USC00086406        8918R
USC00086414        7690S
USC00086485        8297R
USC00086618        7252R
USC00086657        8135Q
USC00086764        8471Q
USC00086767        7242R
USC00086828        6753Q
USC00086842        7126R
USC00086880        8071R
USC00087020        8530R
USC00087025        7137S
USC00087205        8057S
USC00087228        7492Q
USC00087254        9262R
USC00087261        7780Q
USC00087304        8352Q
USC00087397        8521S
USC00087429        6651R
USC00087760        9090R
USC00087826        7461S
USC00087851        8131S
USC00087982        8063S
USC00088076        6824Q
USC00088368        8125Q
USC00088529        6947R
USC00088565        6927R
USC00088620        8823R
USC00088756        6810Q
USC00088780        9153R
USC00088824        8016S
USC00088841        9808R
USC00088942        8210S
USC00089120        7035R
USC00089176        8242R
USC00089219        8238R
USC00089401        8300S
USC00089430        7695R
USC00089511        9060Q
USC00089566        6532S
USC00089640        6923Q
USC00089707        8428R
USC00090010        6063Q
USC00090140        6440S
USC00090181        5053R
USC00090219        4724R
USC00090236        4807R
USC00090253        5903R
USC00090311        5429S
USC00090406        6175R
USC00090586        6637R
USC00090603        4480Q
USC00090670        6251Q
USC00090969        4131R
USC00090979        6245R
USC00091266        6271S
USC00091340        6951S
USC00091448        5830R
USC00091463        6557Q
USC00091474        5105R
USC00091500        6324R
USC00091640        4954S
USC00091665        5399R
USC00091732        5040S
USC00091863        4980R
USC00091908        4914Q
USC00091965        4599Q
USC00091973        6313R
USC00091982        4219S
USC00092006        4265Q
USC00092153        6586R
USC00092159        5984R
USC00092180        5015S
USC00092266        5970S
USC00092283        4513S
USC00092318        5393R
USC00092361        6155Q
USC00092408        4724Q
USC00092450        5842S
USC00092475        4348R
USC00092485        5070C
USC00092493        5058R
USC00092517        5017R
USC00092738        6781Q
USC00092783        6324R
USC00092839        5957S
USC00092966        5986S
USC00093060        4733C
USC00093271        5391R
USC00093325        6707R
USC00093386        6255R
USC00093465        7158S
USC00093506        5447R
USC00093538        6817S
USC00093578        6096Q
USC00093621        4846S
USC00093658        6025Q
USC00093754        6394R
USC00093915        5654R
USC00094133        5058S
USC00094138        5253Q
USC00094170        5917R
USC00094204        6355R
USC00094230        4341R
USC00094429        6280R
USC00094594        6082R
USC00094648        4549S
USC00094674        6837R
USC00094676        6175R
USC00094700        5228R
USC00094862        5806Q
USC00094941        4700R
USC00094949        5552R
USC00095061        6187Q
USC00095165        5236Q
USC00095314        5920S
USC00095394        6036R
USC00095401        6212Q
USC00095404        4941Q
USC00095550        6075R
USC00095666        5386R
USC00095811        6401R
USC00095863        5925R
USC00095874        5791S
USC00095882        5920R
USC00095988        5375S
USC00096087        6534R
USC00096093        3212Q
USC00096148        5869R
USC00096219        6375R
USC00096244        6480R
USC00096335        5352R
USC00096838        6340Q
USC00097087        5705S
USC00097171        6165R
USC00097276        6390S
USC00097528        5942Q
USC00097600        5351S
USC00097777        5776S
USC00097808        6746R
USC00097827        3507R
USC00098064        5434S
USC00098436        4986Q
USC00098476        6028R
USC00098496        6305R
USC00098535        5462R
USC00098661        5646S
USC00098666        6711Q
USC00098703        6208R
USC00098740        4967R
USC00098950        5215S
USC00098974        6544Q
USC00099027        6076Q
USC00099124        5891R
USC00099141        5441S
USC00099157        5331S
USC00099186        6454S
USC00099194        5938R
USC00099291        5382S
USC00099466        5178R
USC00099486        4975R
USC00099502        6479R
USC00100010        2587S
USC00100227        2629R
USC00100282        2893Q
USC00100347        2583R
USC00100375        2536R
USC00100448        2999S
USC00100470        2153R
USC00100528        2296Q
USC00100667        2045R
USC00100803        2279R
USC00100915        2656R
USC00101017        2879S
USC00101018        3437Q
USC00101079        2452S
USC00101180        3658R
USC00101195        3743S
USC00101220        2921S
USC00101363        2107S
USC00101380        3553R
USC00101408        3079S
USC00101514        1983R
USC00101551        3008S
USC00101663        2639R
USC00101671        2055S
USC00101831        1683Q
USC00101956        2398R
USC00102159        2204S
USC00102187        3021Q
USC00102246        1951R
USC00102260        2337R
USC00102390        1940R
USC00102444        3428R
USC00102575        1562R
USC00102577        1510Q
USC00102676        1909S
USC00102707        2268S
USC00102845        2949S
USC00102875        2148S
USC00102892        2057R
USC00102942        3145S
USC00103108        2352R
USC00103110        2216R
USC00103143        2590R
USC00103297        2531S
USC00103448        2825S
USC00103554        2206R
USC00103558        2192Q
USC00103631        3491R
USC00103732        2482S
USC00103760        3441S
USC00103771        2255S
USC00103882        2019R
USC00103932        3257R
USC00103940        2336Q
USC00103964        2667R
USC00104140        2860S
USC00104150        1940R
USC00104268        2261R
USC00104295        2916Q
USC00104318        3292Q
USC00104384        2631R
USC00104442        2477S
USC00104455        2694S
USC00104456        2039S
USC00104598        1946R
USC00104670        3074R
USC00104793        3017Q
USC00104831        2291S
USC00104845        1991R
USC00105013        2550R
USC00105015        2814Q
USC00105038        3329R
USC00105143        2550Q
USC00105177        2042R
USC00105275        2127S
USC00105414        2339R
USC00105462        2136R
USC00105563        2689R
USC00105567        2876R
USC00105678        2805R
USC00105685        2426R
USC00105708        1945S
USC00105716        2555R
USC00105897        2411S
USC00105980        2822R
USC00106152        2441S
USC00106174        3278R
USC00106230        2127R
USC00106250        2675R
USC00106305        3270S
USC00106388        2244R
USC00106424        2115S
USC00106542        2894S
USC00106586        2868R
USC00106764        2305R
USC00106844        3213S
USC00106877        2683S
USC00106891        3323S
USC00107040        2335S
USC00107046        2112R
USC00107188        2166R
USC00107208        2836R
USC00107210        2989Q
USC00107264        2320R
USC00107301        2180S
USC00107320        2023S
USC00107346        2685R
USC00107386        2159C
USC00107563        1995R
USC00107644        2330R
USC00107648        2753S
USC00107673        2543S
USC00107689        2535Q
USC00107706        3340R
USC00107808        2536Q
USC00107968        2713R
USC00108022        2246S
USC00108062        2424S
USC00108080        2406S
USC00108137        2238S
USC00108380        3033R
USC00108395        2711R
USC00108412        2330R
USC00108535        2231R
USC00108676        1845S
USC00108928        3686S
USC00108937        2299S
USC00109000        2454R
USC00109065        1873R
USC00109293        3167R
USC00109303        2682S
USC00109498        2046R
USC00109560        1763R
USC00109638        3351R
USC00109698        2813Q
USC00109846        1828S
USC00109950        2153Q
USC00109951        1996R
USC00109963        2817R
USC00110055        4402R
USC00110072        3331S
USC00110137        4501R
USC00110140        3294Q
USC00110187        4503S
USC00110203        3018R
USC00110306        3669R
USC00110338        3376S
USC00110356        3467Q
USC00110442        2965R
USC00110598        3793R
USC00110608        4345R
USC00110764        3626R
USC00110993        4390S
USC00111020        4198R
USC00111160        4372S
USC00111265        4420S
USC00111280        3933R
USC00111290        4134R
USC00111302        4255R
USC00111420        3379R
USC00111436        4033S
USC00111475        3707S
USC00111497        3086S
USC00111550        3484Q
USC00111835        3138R
USC00111836        3598R
USC00112140        3836S
USC00112193        4037S
USC00112223        3183S
USC00112348        3183S
USC00112353        4770R
USC00112483        4409S
USC00112500        3322R
USC00112736        3188R
USC00112745        3025R
USC00112931        4125S
USC00112993        3503R
USC00113106        4092R
USC00113109        4254S
USC00113262        3120S
USC00113290        3386S
USC00113320        3483S
USC00113335        3364S
USC00113369        3447R
USC00113384        3558S
USC00113413        3446R
USC00113455        3632R
USC00113530        3704R
USC00113580        4482R
USC00113612        4312Q
USC00113717        3714R
USC00113879        4468R
USC00113940        3869R
USC00114013        3551R
USC00114078        4121Q
