Area_Symbol|Map_Symbol|Map_Unit_Name|Map_Unit_Acres|Non-irr_LCC_and_sub|Overall_Index|Mukey
GA015|32C3|Townley silty clay loam, 2 to 10 percent slopes, eroded|0|4e|0.0000|767530
GA015|32E3|Townley silty clay loam, 10 to 25 percent slopes, eroded|0|6e|0.0000|767168
GA015|32E3|Townley silty clay loam, 10 to 25 percent slopes, eroded|0|6e|0.0000|767531
GA015|33A|Wehadkee silt loam, 0 to 2 percent slopes, occasionally flooded||6w|0.0000|2554403
GA015|33A1|Wehadkee silt loam|0|6w|0.0000|767169
GA015|33A1|Wehadkee silt loam|0|6w|0.0000|767532
GA015|33A1b|Wehadkee silt loam||3w|0.0000|2554441
GA015|33A1r|Wehadkee silt loam||4w|0.0000|2554414
GA015|35A|Wax silt loam, 2 to 6 percent slopes, rarely flooded||2e|0.0000|2554396
GA015|35A1|Wax loam, 0 to 2 percent slopes|0|2w|0.0000|767170
GA015|35A1|Wax loam, 0 to 2 percent slopes|0|2w|0.0000|767533
GA015|35B1|Wax loam, 2 to 6 percent slopes|0|2e|0.0000|767171
GA015|35B1|Wax loam, 2 to 6 percent slopes|0|2e|0.0000|767534
GA015|36B|Aragon sandy loam, 2 to 6 percent slopes||2e|0.0000|2554267
GA015|36B2|Aragon fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767172
GA015|36B2|Aragon fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767535
GA015|36C|Aragon sandy loam, 6 to 10 percent slopes||3e|0.0000|2554268
GA015|36C2|Aragon fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767173
GA015|36C2|Aragon fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767536
GA015|36D|Aragon sandy loam, 10 to 15 percent slopes||4e|0.0000|2554269
GA015|36D2|Aragon fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767174
GA015|36D2|Aragon fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767537
GA015|36E|Aragon sandy loam, 15 to 30 percent slopes||6e|0.0000|2554270
GA015|39B|Holston fine sandy loam, 2 to 6 percent slopes||2e|0.0000|2554325
GA015|39B1|Euharlee silt loam, 2 to 6 percent slopes|0|2e|0.0000|767175
GA015|39B1|Euharlee silt loam, 2 to 6 percent slopes|0|2e|0.0000|767538
GA015|39C|Holston fine sandy loam, 6 to 10 percent slopes||3e|0.0000|2554326
GA015|39C2|Euharlee silt loam, 6 to 10 percent slopes|0|3e|0.0000|767176
GA015|39C2|Euharlee silt loam, 6 to 10 percent slopes|0|3e|0.0000|767539
GA015|40B|Minvale-Shack complex, 2 to 6 percent slopes||2e|0.0000|2554338
GA015|40B1|Shack gravelly silt loam, 2 to 6 percent slopes|0|2e|0.0000|767183
GA015|40B1|Shack gravelly silt loam, 2 to 6 percent slopes|0|2e|0.0000|767546
GA015|40C|Minvale-Shack complex, 6 to 10 percent slopes||3e|0.0000|2554339
GA015|40C1|Shack cherty silt loam, 6 to 10 percent slopes|0|3e|0.0000|767184
GA015|40C1|Shack cherty silt loam, 6 to 10 percent slopes|0|3e|0.0000|767547
GA015|40D|Minvale-Shack complex, 10 to 15 percent slopes||4e|0.0000|2554340
GA015|40D1|Shack cherty silt loam, 10 to 15 percent slopes|0|4e|0.0000|767185
GA015|40D1|Shack cherty silt loam, 10 to 15 percent slopes|0|4e|0.0000|767548
GA015|40E|Minvale-Shack complex, 15 to 30 percent slopes||6e|0.0000|2554341
GA015|40E1|Shack cherty silt loam, 15 to 25 percent slopes|0|6e|0.0000|767186
GA015|40E1|Shack cherty silt loam, 15 to 25 percent slopes|0|6e|0.0000|767549
GA015|42C|Pailo-Minvale complex, 6 to 10 percent slopes, stony||3e|0.0000|2554356
GA015|42D|Pailo-Minvale complex, 10 to 15 percent slopes, stony||4e|0.0000|2554357
GA015|42E|Pailo-Minvale complex, 15 to 30 percent slopes, stony||6e|0.0000|2554358
GA015|42E1|Bodine stony silt loam, 10 to 25 percent slopes|0|6s|0.0000|767204
GA015|42E1|Bodine stony silt loam, 10 to 25 percent slopes|0|6s|0.0000|767567
GA015|42F|Pailo-Minvale complex, 30 to 45 percent slopes, stony||7e|0.0000|2554359
GA015|42F1|Bodine stony silt loam, 25 to 60 percent slopes|0|7s|0.0000|767205
GA015|42F1|Bodine stony silt loam, 25 to 60 percent slopes|0|7s|0.0000|767568
GA015|47|Decatur-Udorthents complex, 10 to 25 percent slopes|0||4E-06|767225
GA015|47|Decatur-Udorthents complex, 10 to 25 percent slopes|0||4E-06|767588
GA015|48B1|Conasauga silt loam, 1 to 6 percent slopes|0|3e|0.0000|767228
GA015|48B1|Conasauga silt loam, 1 to 6 percent slopes|0|3e|0.0000|767591
GA015|48C1|Conasauga silt loam, 6 to 10 percent slopes|0|6e|0.0000|767229
GA015|48C1|Conasauga silt loam, 6 to 10 percent slopes|0|6e|0.0000|767592
GA015|52B|Decatur loam, 2 to 6 percent slopes||2e|0.0000|2554290
GA015|52B2|Decatur silt loam, 2 to 6 percent slopes|0|2e|0.0000|767230
GA015|52B2|Decatur silt loam, 2 to 6 percent slopes|0|2e|0.0000|767593
GA015|52B2b|Decatur silt loam, 2 to 6 percent slopes||2e|0.0000|2554419
GA015|52C|Decatur loam, 6 to 10 percent slopes||3e|0.0000|2554291
GA015|52C2|Decatur silt loam, 6 to 10 percent slopes|0|3e|0.0000|767231
GA015|52C2|Decatur silt loam, 6 to 10 percent slopes|0|3e|0.0000|767594
GA015|52C2b|Decatur silt loam, 6 to 10 percent slopes||3e|0.0000|2554420
GA015|52D|Decatur loam, 10 to 15 percent slopes||4e|0.0000|2554292
GA015|52D2|Decatur silt loam, 10 to 15 percent slopes|0|4e|0.0000|767232
GA015|52D2|Decatur silt loam, 10 to 15 percent slopes|0|4e|0.0000|767595
GA015|52D2b|Decatur silt loam, 10 to 15 percent slopes||4e|0.0000|2554421
GA015|52E|Decatur loam, 15 to 25 percent slopes||6e|0.0000|2554293
GA015|52E2|Decatur silt loam, 15 to 25 percent slopes|0|6e|0.0000|767233
GA015|52E2|Decatur silt loam, 15 to 25 percent slopes|0|6e|0.0000|767596
GA015|52E2b|Decatur silt loam, 15 to 25 percent slopes||6s|0.0000|2554436
GA015|53C3|Decatur silty clay loam, 6 to 10 percent slopes, eroded|0|4e|0.0000|767234
GA015|53C3|Decatur silty clay loam, 6 to 10 percent slopes, eroded|0|4e|0.0000|767597
GA015|53D3|Decatur silty clay loam, 10 to 15 percent slopes, eroded|0|6e|0.0000|767235
GA015|53D3|Decatur silty clay loam, 10 to 15 percent slopes, eroded|0|6e|0.0000|767598
GA015|56A1|Emory silt loam|0|1|0.0000|767236
GA015|56A1|Emory silt loam|0|1|0.0000|767599
GA015|58A|Etowah loam, 0 to 2 percent slopes||1|0.5050|2554305
GA015|58A1|Etowah loam, 0 to 2 percent slopes|0|1|0.5050|767237
GA015|58A1|Etowah loam, 0 to 2 percent slopes|0|1|0.5050|767600
GA015|58B|Etowah loam, 2 to 6 percent slopes||2e|0.0000|2554306
GA015|58B1|Etowah loam, 2 to 6 percent slopes|0|2e|0.0000|767238
GA015|58B1|Etowah loam, 2 to 6 percent slopes|0|2e|0.0000|767601
GA015|58C|Etowah loam, 6 to 10 percent slopes||3e|0.0000|2554307
GA015|58C2|Etowah loam, 6 to 10 percent slopes|0|3e|0.0000|767239
GA015|58C2|Etowah loam, 6 to 10 percent slopes|0|3e|0.0000|767602
GA015|58D|Etowah loam, 10 to 15 percent slopes||4e|0.0000|2421747
GA015|59B2|Farragut silt loam, 2 to 6 percent slopes|0|2e|0.0000|767240
GA015|59B2|Farragut silt loam, 2 to 6 percent slopes|0|2e|0.0000|767603
GA015|59C2|Farragut silt loam, 6 to 10 percent slopes|0|3e|0.0000|767241
GA015|59C2|Farragut silt loam, 6 to 10 percent slopes|0|3e|0.0000|767604
GA015|59D2|Farragut silt loam, 10 to 15 percent slopes|0|4e|0.0000|767242
GA015|59D2|Farragut silt loam, 10 to 15 percent slopes|0|4e|0.0000|767605
GA015|60C3|Farragut silty clay loam, 6 to 10 percent slopes, eroded|0|3e|0.0000|767243
GA015|60C3|Farragut silty clay loam, 6 to 10 percent slopes, eroded|0|3e|0.0000|767606
GA015|60D3|Farragut silty clay loam, 10 to 15 percent slopes, eroded|0|4e|0.0000|767244
GA015|60D3|Farragut silty clay loam, 10 to 15 percent slopes, eroded|0|4e|0.0000|767607
GA015|65|Udorthents|0||99.0000|767245
GA015|65|Udorthents|||99.0000|2554393
GA015|66B|Fullerton gravelly silt loam, 2 to 6 percent slopes||2e|0.0000|2554315
GA015|66B1|Fullerton cherty silt loam, 2 to 6 percent slopes|0|2e|0.0000|767246
GA015|66B1|Fullerton cherty silt loam, 2 to 6 percent slopes|0|2e|0.0000|767609
GA015|66C|Fullerton gravelly silt loam, 6 to 10 percent slopes||3e|0.0000|2554316
GA015|66C1|Fullerton cherty silt loam, 6 to 10 percent slopes|0|3e|0.0000|767247
GA015|66C1|Fullerton cherty silt loam, 6 to 10 percent slopes|0|3e|0.0000|767610
GA015|66D|Fullerton gravelly silt loam, 10 to 15 percent slopes||4e|0.0000|2554317
GA015|66D1|Fullerton cherty silt loam, 10 to 15 percent slopes|0|4e|0.0000|767248
GA015|66D1|Fullerton cherty silt loam, 10 to 15 percent slopes|0|4e|0.0000|767611
GA015|66E|Fullerton gravelly silt loam, 15 to 30 percent slopes||6e|0.0000|2554318
GA015|66E1|Fullerton cherty silt loam, 15 to 25 percent slopes|0|6e|0.0000|767249
GA015|66E1|Fullerton cherty silt loam, 15 to 25 percent slopes|0|6e|0.0000|767612
GA015|66F|Fullerton gravelly silt loam, 30 to 45 percent slopes||7e|0.0000|2554319
GA015|66F1|Fullerton gravelly silt loam, 25 to 40 percent slopes|0|7e|0.0000|767250
GA015|66F1|Fullerton gravelly silt loam, 25 to 40 percent slopes|0|7e|0.0000|767613
GA015|67C3|Fullerton cherty silty clay loam, 6 to 10 percent slopes, eroded|0|3e|0.0000|767251
GA015|67C3|Fullerton cherty silty clay loam, 6 to 10 percent slopes, eroded|0|3e|0.0000|767614
GA015|67D3|Fullerton cherty silty clay loam, 10 to 25 percent slopes, eroded|0|4e|0.0000|767252
GA015|67D3|Fullerton cherty silty clay loam, 10 to 25 percent slopes, eroded|0|4e|0.0000|767615
GA015|68A1|Ennis cherty silt loam|0|2w|0.0000|767253
GA015|68A1|Ennis cherty silt loam|0|2w|0.0000|767616
GA015|69A|Guthrie silt loam, 0 to 2 percent slopes, ponded||4w|0.0000|2554321
GA015|69A1|Guthrie silt loam|0|5w|0.0000|767254
GA015|69A1|Guthrie silt loam|0|5w|0.0000|767617
GA015|70D1|Dekalb fine sandy loam, 10 to 15 percent slopes|0|3e|0.0000|767257
GA015|70D1|Dekalb fine sandy loam, 10 to 15 percent slopes|0|3e|0.0000|767620
GA015|70E1|Dekalb stony fine sandy loam, 15 to 25 percent slopes|0|4e|0.0000|767258
GA015|70E1|Dekalb stony fine sandy loam, 15 to 25 percent slopes|0|4e|0.0000|767621
GA015|70F1|Dekalb stony fine sandy loam, 25 to 45 percent slopes|0|7e|0.0000|767259
GA015|70F1|Dekalb stony fine sandy loam, 25 to 45 percent slopes|0|7e|0.0000|767622
GA015|72D1|Pacolet bouldery sandy loam, 6 to 15 percent slopes|0|4e|0.0000|767260
GA015|72D1|Pacolet bouldery sandy loam, 6 to 15 percent slopes|0|4e|0.0000|767623
GA015|72F1|Pacolet bouldery sandy loam, 15 to 40 percent slopes|0|7e|0.0000|767261
GA015|72F1|Pacolet bouldery sandy loam, 15 to 40 percent slopes|0|7e|0.0000|767624
GA015|74B1|Holston fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767262
GA015|74B1|Holston fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767625
GA015|74B1b|Holston fine sandy loam, 2 to 6 percent slopes||2w|0.0000|2554440
GA015|74C1|Holston fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767263
GA015|74C1|Holston fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767626
GA015|74D|Holston fine sandy loam, 10 to 15 percent slopes||4e|0.0000|2554327
GA015|74D2|Holston fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767264
GA015|74D2|Holston fine sandy loam, 10 to 15 percent slopes|0|4e|0.0000|767627
GA015|74D2b|Holston fine sandy loam, 10 to 15 percent slopes||4e|0.0000|2554446
GA015|76C|Nella gravelly fine sandy loam, 6 to 10 percent slopes||3e|0.0000|2554347
GA015|76D|Nella gravelly fine sandy loam, 10 to 15 percent slopes||4e|0.0000|2554348
GA015|76E|Nella gravelly fine sandy loam, 15 to 30 percent slopes||6e|0.0000|2554349
GA015|76F|Nella gravelly fine sandy loam, 30 to 45 percent slopes||7e|0.0000|2554350
GA015|76F1|Nella-Holston association, steep|0|4e|0.0000|767265
GA015|76F1|Nella-Holston association, steep|0|4e|0.0000|767628
GA015|76F1b|Nella-Holston association, steep||4e|0.0000|2554443
GA015|77A1|Leadvale silt loam, 0 to 2 percent slopes|0|2w|0.0000|767266
GA015|77A1|Leadvale silt loam, 0 to 2 percent slopes|0|2w|0.0000|767629
GA015|78C|Sipsey-Sunlight complex, 6 to 10 percent slopes||6e|0.0000|1611854
GA015|78D|Sipsey-Sunlight complex, 10 to 15 percent slopes||6e|0.0000|2554372
GA015|78E|Sipsey-Sunlight complex, 15 to 30 percent slopes||6e|0.0000|2554373
GA015|78F|Sipsey-Sunlight complex, 30 to 45 percent slopes||7e|0.0000|2554374
GA015|84C|Montevallo channery silt loam, 6 to 10 percent slopes||3e|0.0000|2554342
GA015|84C1|Montevallo shaly silt loam, 6 to 15 percent slopes|0|6e|0.0000|767271
GA015|84C1|Montevallo shaly silt loam, 6 to 15 percent slopes|0|6e|0.0000|767634
GA015|84D|Montevallo channery silt loam, 10 to 15 percent slopes||4e|0.0000|2554343
GA015|84E|Montevallo channery silt loam, 15 to 30 percent slopes||6e|0.0000|2554344
GA015|84F|Montevallo channery silt loam, 30 to 45 percent slopes||6e|0.0000|2554345
GA015|84F1|Montevallo shaly silt loam, 15 to 45 percent slopes|0|7e|0.0000|767272
GA015|84F1|Montevallo shaly silt loam, 15 to 45 percent slopes|0|7e|0.0000|767635
GA015|87A|Steadman silt loam, 0 to 2 percent slopes, occasionally flooded||2w|0.0000|2554375
GA015|87A1|Hamblen silt loam, overwash|0|2w|0.0000|767273
GA015|87A1|Hamblen silt loam, overwash|0|2w|0.0000|767636
GA015|89A1|Cartecay silt loam|0|3w|0.0000|767274
GA015|89A1|Cartecay silt loam|0|3w|0.0000|767637
GA015|89A1b|Cartecay silt loam||3w|0.0000|2554417
GA015|89A1r|Cartecay silt loam||2w|0.0000|2554455
GA015|90A|Subligna extremely gravelly sandy loam, 1 to 6 percent slopes, occasionally flooded||3s|0.0000|2554377
GA015|90A1|Subligna gravelly loam, 1 to 6 percent slopes|0|3s|0.0000|767276
GA015|90A1|Subligna gravelly loam, 1 to 6 percent slopes|0|3s|0.0000|767639
GA015|90A1b|Subligna extremely gravelly sandy loam, 1 to 6 percent slopes, occasionally flooded||3s|0.0000|2554413
GA015|91A|Toccoa sandy loam, 0 to 3 percent slopes, occasionally flooded||2w|0.0000|2554386
GA015|91A1|Toccoa fine sandy loam|0|2w|0.0000|767277
GA015|91A1|Toccoa fine sandy loam|0|2w|0.0000|767640
GA015|91A1b|Toccoa fine sandy loam||2w|0.0000|2554442
GA015|94A1|Roanoke loam|0|5w|0.0000|767278
GA015|94A1|Roanoke loam|0|5w|0.0000|767641
GA015|94A1r|Roanoke loam||4w|0.0000|2554452
GA015|96A1|Sequatchie loam, 0 to 2 percent slopes|0|2w|0.0000|767279
GA015|96A1|Sequatchie loam, 0 to 2 percent slopes|0|2w|0.0000|767642
GA015|97B|Cunningham silt loam, 2 to 6 percent slopes||2e|0.0000|2554283
GA015|97B2|Cunningham silt loam, 2 to 6 percent slopes|0|2e|0.0000|767280
GA015|97B2|Cunningham silt loam, 2 to 6 percent slopes|0|2e|0.0000|767643
GA015|97C|Cunningham silt loam, 6 to 10 percent slopes||2e|0.0000|2554284
GA015|97C2|Cunningham silt loam, 6 to 10 percent slopes|0|3e|0.0000|767281
GA015|97C2|Cunningham silt loam, 6 to 10 percent slopes|0|3e|0.0000|767644
GA015|97D|Cunningham silt loam, 10 to 15 percent slopes||4e|0.0000|2554285
GA015|97D1|Cunningham silt loam, 10 to 15 percent slopes|0|4e|0.0000|767282
GA015|97D1|Cunningham silt loam, 10 to 15 percent slopes|0|4e|0.0000|767645
GA015|97E|Cunningham silt loam, 15 to 30 percent slopes||6e|0.0000|2554286
GA015|97E1|Cunningham silt loam, 15 to 25 percent slopes|0|6e|0.0000|767283
GA015|97E1|Cunningham silt loam, 15 to 25 percent slopes|0|6e|0.0000|767646
GA015|99A|Cedarbluff loam, 0 to 2 percent slopes, occasionally flooded||3w|0.0000|2554281
GA015|99A1|Cedarbluff loam|0|3w|0.0000|767284
GA015|99A1|Cedarbluff loam|0|3w|0.0000|767647
GA015|99B|Cedarbluff loam, 2 to 6 percent slopes||3e|0.0000|1611235
GA015|102B2|Talbott silt loam, 2 to 6 percent slopes|0|3e|0.0000|767123
GA015|102B2|Talbott silt loam, 2 to 6 percent slopes|0|3e|0.0000|767486
GA015|102C2|Talbott silt loam, 6 to 10 percent slopes|0|4e|0.0000|767124
GA015|102C2|Talbott silt loam, 6 to 10 percent slopes|0|4e|0.0000|767487
GA015|102D2|Talbott silt loam, 10 to 15 percent slopes|0|6e|0.0000|767125
GA015|102D2|Talbott silt loam, 10 to 15 percent slopes|0|6e|0.0000|767488
GA015|103C3|Talbott silty clay loam, 6 to 10 percent slopes, eroded|0|4e|0.0000|767126
GA015|103C3|Talbott silty clay loam, 6 to 10 percent slopes, eroded|0|4e|0.0000|767489
GA015|103D3|Talbott silty clay loam, 10 to 25 percent slopes, eroded|0|6e|0.0000|767127
GA015|103D3|Talbott silty clay loam, 10 to 25 percent slopes, eroded|0|6e|0.0000|767490
GA015|106A1|Tupelo clay loam, frequently flooded|0|4w|0.0000|767128
GA015|106A1|Tupelo clay loam, frequently flooded|0|4w|0.0000|767491
GA015|108B2|Waynesboro fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767129
GA015|108B2|Waynesboro fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767492
GA015|108C2|Waynesboro fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767130
GA015|108C2|Waynesboro fine sandy loam, 6 to 10 percent slopes|0|3e|0.0000|767493
GA015|108D2|Waynesboro fine sandy loam, 10 to 25 percent slopes|0|4e|0.0000|767131
GA015|108D2|Waynesboro fine sandy loam, 10 to 25 percent slopes|0|4e|0.0000|767494
GA015|109B|Waynesboro clay loam, 2 to 6 percent slopes, moderately eroded||2e|0.0000|2554397
GA015|109C|Waynesboro clay loam, 6 to 10 percent slopes, moderately eroded||3e|0.0000|2554398
GA015|109C3|Waynesboro clay loam, 6 to 10 percent slopes, eroded|0|3e|0.0000|767132
GA015|109C3|Waynesboro clay loam, 6 to 10 percent slopes, eroded|0|3e|0.0000|767495
GA015|109D|Waynesboro clay loam, 10 to 15 percent slopes, moderately eroded||4e|0.0000|2554399
GA015|109D3|Waynesboro clay loam, 10 to 25 percent slopes, eroded|0|4e|0.0000|767133
GA015|109D3|Waynesboro clay loam, 10 to 25 percent slopes, eroded|0|4e|0.0000|767496
GA015|109E|Waynesboro clay loam, 15 to 30 percent slopes, moderately eroded||6e|0.0000|2554400
GA015|123A|Shady loam, 0 to 2 percent slopes, occasionally flooded||2w|0.0000|2554370
GA015|123A1|Rome fine sandy loam, 0 to 2 percent slopes|0|2w|0.0000|767139
GA015|123A1|Rome fine sandy loam, 0 to 2 percent slopes|0|2w|0.0000|767502
GA015|123B|Shady loam, 2 to 6 percent slopes||2e|0.0000|2554371
GA015|123B1|Rome fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767140
GA015|123B1|Rome fine sandy loam, 2 to 6 percent slopes|0|2e|0.0000|767503
GA015|127B|Dillard loam, 2 to 6 percent slopes, rarely flooded||2w|0.0000|2554296
GA015|129A1|Staser silt loam|0|2w|0.0000|767141
GA015|129A1|Staser silt loam|0|2w|0.0000|767504
GA015|130A1|Whitwell silt loam|0|2w|0.0000|767142
GA015|130A1|Whitwell silt loam|0|2w|0.0000|767505
GA015|130B|Whitwell silt loam, 1 to 5 percent slopes, rarely flooded||2w|0.0000|2554404
GA015|133A|Bloomingdale silt loam, 0 to 2 percent slopes, occasionally flooded||4w|0.0000|2554273
GA015|153B3|Cunningham silty clay loam, 2 to 6 percent slopes, eroded|0|3e|0.0000|767143
GA015|153B3|Cunningham silty clay loam, 2 to 6 percent slopes, eroded|0|3e|0.0000|767506
GA015|153C|Cunningham silty clay loam, 6 to 10 percent slopes, moderately eroded||4e|0.0000|2554287
GA015|153D|Cunningham silty clay loam, 10 to 15 percent slopes, moderately eroded||6e|0.0000|2554288
GA015|153D3|Cunningham silty clay loam, 6 to 15 percent slopes, eroded|0|6e|0.0000|767144
GA015|153D3|Cunningham silty clay loam, 6 to 15 percent slopes, eroded|0|6e|0.0000|767507
GA015|155B1|Dewey silt loam, 2 to 6 percent slopes|0|2e|0.0000|767145
GA015|155B1|Dewey silt loam, 2 to 6 percent slopes|0|2e|0.0000|767508
GA015|155C2|Dewey silt loam, 6 to 10 percent slopes|0|3e|0.0000|767146
GA015|155C2|Dewey silt loam, 6 to 10 percent slopes|0|3e|0.0000|767509
GA015|155D2|Dewey silt loam, 10 to 15 percent slopes|0|4e|0.0000|767147
GA015|155D2|Dewey silt loam, 10 to 15 percent slopes|0|4e|0.0000|767510
GA015|165|Urban land|0||99.0000|767149
GA015|165|Pits-Udorthents complex|||99.0000|2554362
GA015|166|Urban land-Waynesboro complex|0|3e|6E-06|767150
GA015|166|Urban land-Waynesboro complex|0|3e|6E-06|2482491
GA015|167|Waynesboro-Urban land complex|0||4E-06|767151
GA015|167|Waynesboro-Urban land complex|0||4E-06|2482492
GA015|170A|Capshaw silty clay loam, 0 to 2 percent slopes||2w|0.0000|2554276
GA015|170A1|Wolftever silt loam, 0 to 2 percent slopes|0|2w|0.0000|767152
