STATE,STATION_NA,ELEVATION_,AVG_LENGTH_28,AVG_LENGTH_32,ANN_GDD50,Estimated_GDD,ANN_TNORM_,C_Degrees,marine_32,Marine_32_b,mcc_ratio_32,exponent_gdd_32,exponent_32xmarine32,gdd_calc,gdd_calc*marine32,mcc_ratio_28,exponent gdd_28,exponent28*marine28,marine_32_b*gdd_calc
AK,COLLEGE OBSERVATORY,621,123,96,1003,552.8643525,27.9,-2.277777778,1,1,-42.14634146,-0.2800503,-0.2800503,-0.091449009,-0.091449009,-54,-0.29680493,-0.29680493,-0.091449009
AK,SLANA,2192,94,64,439,555.481251,26,-3.333333333,1,1,-19.2,-0.382556165,-0.382556165,-0.09065166,-0.09065166,-28.2,-0.408069533,-0.408069533,-0.09065166
AK,UNIVERSITY EXP STA,475,122,95,998,555.8136047,27.9,-2.277777778,1,1,-41.70731707,-0.27944826,-0.27944826,-0.090550395,-0.090550395,-53.56097561,-0.296166872,-0.296166872,-0.090550395
AK,CHANDALAR LAKE,1895,60,26,361,557.7957184,17.5,-8.055555556,1,1,-3.227586207,-0.851914351,-0.851914351,-0.08994646,-0.08994646,-7.448275862,-0.916586441,-0.916586441,-0.08994646
AK,HOMER AP,89,155,127,405,563.9649159,38.1,3.388888889,1,-0.5,37.47540984,0.445405544,-0.222702772,0.176133506,0.176133506,45.73770492,0.473069903,0.473069903,-0.088066753
AK,CANNERY CREEK,86,156,120,409,591.9107943,37.8,3.222222222,1,-0.5,37.24137931,0.41716835,-0.208584175,0.159103721,0.159103721,48.4137931,0.450773223,0.450773223,-0.07955186
AK,TUTKA BAY LAGOON,20,157,115,470,593.2046189,38,3.333333333,1,-0.5,34.5,0.426934693,-0.213467346,0.158315284,0.158315284,47.1,0.467321755,0.467321755,-0.079157642
AK,BIG DELTA ALLEN AAF,1268,128,99,955,596.7976977,28.6,-1.888888889,1,1,-52.41176471,-0.233741054,-0.233741054,-0.078062859,-0.078062859,-67.76470588,-0.248793673,-0.248793673,-0.078062859
AK,GULKANA AP,1571,101,67,525,598.9469836,27.1,-2.722222222,1,1,-24.6122449,-0.314444448,-0.314444448,-0.077407988,-0.077407988,-37.10204082,-0.338315134,-0.338315134,-0.077407988
AK,BIG RIVER LAKES,40,169,138,742,603.0247853,36.9,2.722222222,1,-0.5,50.69387755,0.366355585,-0.183177793,0.152331027,0.152331027,62.08163265,0.391630417,0.391630417,-0.076165513
AK,PAXSON,2700,86,46,272,609.1547241,25.2,-3.777777778,1,1,-12.17647059,-0.417089722,-0.417089722,-0.074297768,-0.074297768,-22.76470588,-0.45458466,-0.45458466,-0.074297768
AK,MCKINLEY PARK,2070,88,59,436,624.0010772,27,-2.777777778,1,1,-21.24,-0.315384829,-0.315384829,-0.0697742,-0.0697742,-31.68,-0.3356952,-0.3356952,-0.0697742
AK,FAREWELL LAKE,1060,107,76,711,630.4055325,28.2,-2.111111111,1,1,-36,-0.248624051,-0.248624051,-0.067822812,-0.067822812,-50.68421053,-0.265776597,-0.265776597,-0.067822812
AK,TOK,1620,67,37,740,633.2815859,24.4,-4.222222222,1,1,-8.763157895,-0.457217114,-0.457217114,-0.0669465,-0.0669465,-15.86842105,-0.487709757,-0.487709757,-0.0669465
AK,CLEARWATER,1100,80,49,765,635.461857,26.3,-3.166666667,1,1,-15.47368421,-0.351883844,-0.351883844,-0.066282189,-0.066282189,-25.26315789,-0.376160272,-0.376160272,-0.066282189
AK,ANCHORAGE INTL AP,114,159,137,746,640.1031725,36.2,2.333333333,1,-0.5,58.71428571,0.313344009,-0.156672004,0.129736031,0.129736031,68.14285714,0.328536256,0.328536256,-0.064868016
AK,GILMORE CREEK,970,89,55,733,643.5000401,27.1,-2.722222222,1,1,-20.20408163,-0.306427929,-0.306427929,-0.063833016,-0.063833016,-32.69387755,-0.32969005,-0.32969005,-0.063833016
AK,PORT HEIDEN,92,144,113,375,644.2251502,36.9,2.722222222,1,-0.5,41.51020408,0.347165861,-0.173582931,0.127224162,0.127224162,52.89795918,0.371116796,0.371116796,-0.063612081
AK,HEALY 2 NW,1490,119,92,848,649.0763613,29.1,-1.611111111,1,1,-57.10344828,-0.196386511,-0.196386511,-0.062133955,-0.062133955,-73.86206897,-0.20813577,-0.20813577,-0.062133955
AK,COLLEGE 5 NW,950,134,112,957,650.1526415,29.6,-1.333333333,1,1,-84,-0.169674877,-0.169674877,-0.06180602,-0.06180602,-100.5,-0.177901434,-0.177901434,-0.06180602
AK,TAHNETA PASS,2620,96,61,245,654.2681928,27.8,-2.333333333,1,1,-26.14285714,-0.266065981,-0.266065981,-0.060552044,-0.060552044,-41.14285714,-0.286880795,-0.286880795,-0.060552044
NH,MOUNT WASHINGTON,6262,81,51,95,662.4508758,27.2,-2.666666667,1,1,-19.125,-0.297601403,-0.297601403,-0.058058843,-0.058058843,-30.375,-0.317448983,-0.317448983,-0.058058843
AK,WASILLA 3 S,50,138,103,868,665.3189882,36.8,2.666666667,1,-0.5,38.625,0.332840256,-0.166420128,0.114369904,0.114369904,51.75,0.358878941,0.358878941,-0.057184952
AK,PUNTILLA,1832,81,48,261,666.0152735,27,-2.777777778,1,1,-17.28,-0.308006473,-0.308006473,-0.056972799,-0.056972799,-29.16,-0.330676024,-0.330676024,-0.056972799
AK,TONSINA,1575,78,40,426,681.2235637,26.5,-3.055555556,1,1,-13.09090909,-0.333023953,-0.333023953,-0.052338951,-0.052338951,-25.52727273,-0.361402785,-0.361402785,-0.052338951
AK,BETHEL AP,125,132,108,523,681.3748918,29.9,-1.166666667,1,1,-92.57142857,-0.147192969,-0.147192969,-0.052292842,-0.052292842,-113.1428571,-0.154995196,-0.154995196,-0.052292842
AK,BARROW AP,31,55,10,20,683.5632671,10.4,-12,1,1,-0.833333333,-1.22610473,-1.22610473,-0.051626061,-0.051626061,-4.583333333,-1.350784338,-1.350784338,-0.051626061
AK,BELUGA,75,136,106,683,696.3752914,35.9,2.166666667,1,-0.5,48.92307692,0.272184327,-0.136092164,0.095444673,0.095444673,62.76923077,0.290336796,0.290336796,-0.047722337
AK,CANTWELL 2 E,2150,62,30,309,709.8036922,25.9,-3.388888889,1,1,-8.852459016,-0.361490006,-0.361490006,-0.043630807,-0.043630807,-18.29508197,-0.38726168,-0.38726168,-0.043630807
AK,SNOWSHOE LAKE,2301,50,19,249,717.481423,22.9,-5.055555556,1,1,-3.758241758,-0.526655833,-0.526655833,-0.041291462,-0.041291462,-9.89010989,-0.562989761,-0.562989761,-0.041291462
AK,KENAI 9 N,126,138,108,484,730.410637,35,1.666666667,1,-0.5,64.8,0.21027567,-0.105137835,0.07470406,0.07470406,82.8,0.224299338,0.224299338,-0.03735203
AK,ST PAUL ISLAND AP,22,131,94,72,745.3542784,35,1.666666667,1,-0.5,56.4,0.204034767,-0.102017383,0.065597637,0.065597637,78.6,0.220945706,0.220945706,-0.032798818
AK,KING SALMON AP,49,134,103,615,755.249473,34.5,1.388888889,1,-0.5,74.16,0.1733543,-0.08667715,0.059567658,0.059567658,96.48,0.185313994,0.185313994,-0.029783829
AK,GLENNALLEN KCAM,1456,50,21,452,755.9114868,26.1,-3.277777778,1,1,-6.406779661,-0.342931029,-0.342931029,-0.029582119,-0.029582119,-15.25423729,-0.36501534,-0.36501534,-0.029582119
AK,KENAI MUNICIPAL AP,86,139,105,496,761.4425358,34.3,1.277777778,1,-0.5,82.17391304,0.160173885,-0.080086943,0.055793702,0.055793702,108.7826087,0.1723333,0.1723333,-0.027896851
AK,EKLUTNA PROJECT,38,131,100,742,761.7190654,34.4,1.333333333,1,-0.5,75,0.165349146,-0.082674573,0.055625189,0.055625189,98.25,0.176756565,0.176756565,-0.027812594
CO,BERTHOUD PASS,11313,79,50,119,767.3506541,29.8,-1.222222222,1,1,-40.90909091,-0.136107415,-0.136107415,-0.026096693,-0.026096693,-64.63636364,-0.144872555,-0.144872555,-0.026096693
AK,MCCARTHY 3 SW,1250,66,29,411,769.0231406,28.3,-2.055555556,1,1,-14.10810811,-0.218793065,-0.218793065,-0.025587099,-0.025587099,-32.10810811,-0.236927212,-0.236927212,-0.025587099
AK,DILLINGHAM AP,86,149,117,482,787.0177892,33.5,0.833333333,1,-0.5,140.4,0.10719406,-0.05359703,0.040208538,0.040208538,178.8,0.114836236,0.114836236,-0.020104269
AK,KASILOF 3 NW,70,110,71,305,800.8936006,33.9,1.055555556,1,-0.5,67.26315789,0.122981555,-0.061490778,0.031752833,0.031752833,104.2105263,0.133749029,0.133749029,-0.015876417
CO,CLIMAX,11320,74,44,183,808.3845239,30.7,-0.722222222,1,1,-60.92307692,-0.079395276,-0.079395276,-0.01359399,-0.01359399,-102.4615385,-0.084690292,-0.084690292,-0.01359399
WY,DARWIN RANCH,8160,35,13,262,831.5896408,29.9,-1.166666667,1,1,-11.14285714,-0.119976726,-0.119976726,-0.006523571,-0.006523571,-30,-0.125793707,-0.125793707,-0.006523571
CO,MT EVANS RES STATION,10630,80,38,199,835.1891244,31.4,-0.333333333,1,1,-114,-0.036173853,-0.036173853,-0.005426836,-0.005426836,-240,-0.039595818,-0.039595818,-0.005426836
WY,LAKE YELLOWSTONE,7870,54,29,399,841.6517758,31.5,-0.277777778,1,1,-104.4,-0.02956663,-0.02956663,-0.003457716,-0.003457716,-194.4,-0.031200937,-0.031200937,-0.003457716
WY,BONDURANT,6535,27,8,528,857.3932924,32.7,0.388888889,1,1,20.57142857,0.039564219,0.039564219,0.001338602,0.001338602,69.42857143,0.041215503,0.041215503,0.001338602
WY,BURGESS JUNCTION,8040,66,34,411,868.9502423,32.6,0.333333333,1,1,102,0.035863795,0.035863795,0.004859915,0.004859915,198,0.038420629,0.038420629,0.004859915
WY,SNAKE RIVER,6882,37,16,519,869.3082734,33.3,0.722222222,1,1,22.15384615,0.074752369,0.074752369,0.004969005,0.004969005,51.23076923,0.078208191,0.078208191,0.004969005
CO,TAYLOR PARK,9206,90,61,455,871.9268388,32.4,0.222222222,1,1,274.5,0.025339617,0.025339617,0.005766861,0.005766861,405,0.026971455,0.026971455,0.005766861
CO,CRESTED BUTTE,8860,72,29,476,875.6964485,33,0.555555556,1,1,52.2,0.059133261,0.059133261,0.006915432,0.006915432,129.6,0.064866582,0.064866582,0.006915432
MT,COOKE CITY 2 W,7460,64,31,484,879.6779985,33.1,0.611111111,1,1,50.72727273,0.06532716,0.06532716,0.00812858,0.00812858,104.7272727,0.070135297,0.070135297,0.00812858
WY,SOUTH PASS CITY,7840,62,28,537,881.4929737,33.3,0.722222222,1,1,38.76923077,0.07670798,0.07670798,0.008681589,0.008681589,85.84615385,0.082531178,0.082531178,0.008681589
WY,OLD FAITHFUL,7360,56,25,518,884.3263442,33.6,0.888888889,1,1,28.125,0.093802256,0.093802256,0.009544895,0.009544895,63,0.100273663,0.100273663,0.009544895
ID,STANLEY,6271,38,15,605,890.6380795,35.2,1.777777778,1,1,8.4375,0.183610264,0.183610264,0.011468032,0.011468032,21.375,0.192927216,0.192927216,0.011468032
WY,DANIEL FISH HATCHERY,7335,61,30,602,892.9071678,33.7,0.944444444,1,1,31.76470588,0.100743117,0.100743117,0.012159405,0.012159405,64.58823529,0.107693373,0.107693373,0.012159405
AK,HAYES RIVER,1000,123,92,546,895.1910977,32.6,0.333333333,1,1,276,0.040631692,0.040631692,0.012855301,0.012855301,369,0.043434868,0.043434868,0.012855301
CA,BODIE,8370,22,9,533,895.3616678,38,3.333333333,1,1,2.7,0.339852473,0.339852473,0.012907272,0.012907272,6.6,0.349494748,0.349494748,0.012907272
CO,SILVERTON,9272,65,35,361,896.7756408,33.6,0.888888889,1,1,39.375,0.095842825,0.095842825,0.013338099,0.013338099,73.125,0.102234757,0.102234757,0.013338099
MT,WISDOM,6060,48,16,626,898.1613725,35.6,2,1,1,8,0.207006561,0.207006561,0.013760321,0.013760321,24,0.221764661,0.221764661,0.013760321
AK,SKWENTNA,150,114,92,686,909.2547969,32.8,0.444444444,1,1,207,0.054175589,0.054175589,0.017140401,0.017140401,256.5,0.056802252,0.056802252,0.017140401
CO,HERMIT 7 ESE,9010,63,26,556,912.0408563,34.9,1.611111111,1,1,16.13793103,0.17038287,0.17038287,0.017989292,0.017989292,39.10344828,0.184504652,0.184504652,0.017989292
CO,SPICER,8385,62,28,512,912.1777147,34.7,1.5,1,1,18.66666667,0.159316575,0.159316575,0.018030992,0.018030992,41.33333333,0.171410908,0.171410908,0.018030992
CO,LEADVILLE 2 SW,9938,71,27,373,914.3016203,34.9,1.611111111,1,1,16.75862069,0.170749941,0.170749941,0.018678129,0.018678129,44.06896552,0.18770869,0.18770869,0.018678129
ID,WARREN,5907,41,16,488,914.4696459,36.9,2.722222222,1,1,5.87755102,0.28175893,0.28175893,0.018729325,0.018729325,15.06122449,0.297333261,0.297333261,0.018729325
ID,DIXIE,5620,46,20,571,915.6962436,36,2.222222222,1,1,9,0.231995804,0.231995804,0.01910306,0.01910306,20.7,0.245346895,0.245346895,0.01910306
WY,TOWER FALLS,6266,51,24,695,920.675146,35.6,2,1,1,12,0.210601358,0.210601358,0.020620093,0.020620093,25.5,0.223201052,0.223201052,0.020620093
CO,WOLF CREEK PASS 1 E,10640,89,67,256,930.7713316,33.5,0.833333333,1,1,80.4,0.096258505,0.096258505,0.023696323,0.023696323,106.8,0.100925525,0.100925525,0.023696323
WY,CORA,7440,61,33,666,933.0023404,35.1,1.722222222,1,1,19.16129032,0.184897931,0.184897931,0.024376094,0.024376094,35.41935484,0.196382033,0.196382033,0.024376094
AK,GLEN ALPS,2260,139,106,231,933.3203634,33,0.555555556,1,1,190.8,0.069790853,0.069790853,0.024472993,0.024472993,250.2,0.074927522,0.074927522,0.024472993
UT,ELECTRIC LAKE U P & L,8380,99,65,493,933.5457502,33.6,0.888888889,1,1,73.125,0.102234757,0.102234757,0.024541667,0.024541667,111.375,0.10999579,0.10999579,0.024541667
AK,CHULITNA RIVER LODGE,1400,134,109,621,935.4269175,33,0.555555556,1,1,196.2,0.070242895,0.070242895,0.025114844,0.025114844,241.2,0.074125598,0.074125598,0.025114844
WY,MERNA,7698,64,37,561,936.8399212,34.9,1.611111111,1,1,22.96551724,0.174464425,0.174464425,0.025545375,0.025545375,39.72413793,0.184902147,0.184902147,0.025545375
CO,SUGARLOAF RES (LEADVILL),9738,83,46,374,939.0630386,34.4,1.333333333,1,1,34.5,0.147208137,0.147208137,0.026222742,0.026222742,62.25,0.159409136,0.159409136,0.026222742
MT,WEST YELLOWSTONE,6659,65,37,771,942.6219847,35.1,1.722222222,1,1,21.48387097,0.186496454,0.186496454,0.027307125,0.027307125,37.74193548,0.198079842,0.198079842,0.027307125
WY,BIG PINEY,6820,69,32,871,948.1147524,35.8,2.111111111,1,1,15.15789474,0.226161836,0.226161836,0.028980729,0.028980729,32.68421053,0.244906726,0.244906726,0.028980729
CA,SAGEHEN CREEK,6337,38,14,726,951.8088053,41,5,1,1,2.8,0.515293726,0.515293726,0.030106278,0.030106278,7.6,0.542607794,0.542607794,0.030106278
CO,DILLON 1 E,9065,76,41,447,952.2150726,35.1,1.722222222,1,1,23.80645161,0.188108798,0.188108798,0.030230065,0.030230065,44.12903226,0.202824883,0.202824883,0.030230065
CO,RIO GRANDE RESERVOIR,9455,86,54,518,957.9797658,34.5,1.388888889,1,1,38.88,0.156004685,0.156004685,0.031986522,0.031986522,61.92,0.167126713,0.167126713,0.031986522
MN,TOWER 3 S,1460,79,52,1198,958.2043521,34.6,1.444444444,1,1,36,0.161548049,0.161548049,0.032054952,0.032054952,54.69230769,0.171213019,0.171213019,0.032054952
OR,SENECA,4660,49,17,803,960.9529058,40.1,4.5,1,1,3.777777778,0.4667682,0.4667682,0.032892415,0.032892415,10.88888889,0.500045463,0.500045463,0.032892415
OR,FREMONT 5 NW,4609,34,16,933,977.1937744,41.9,5.5,1,1,2.909090909,0.569268043,0.569268043,0.037840882,0.037840882,6.181818182,0.591752612,0.591752612,0.037840882
WY,PINEDALE,7195,74,42,756,977.5527985,35.8,2.111111111,1,1,19.89473684,0.231081748,0.231081748,0.037950274,0.037950274,35.05263158,0.247556238,0.247556238,0.037950274
CO,ANTERO RESERVOIR,8920,83,45,608,979.3237233,35.6,2,1,1,22.5,0.220337514,0.220337514,0.038489861,0.038489861,41.5,0.239113704,0.239113704,0.038489861
MT,LAKEVIEW,6710,73,43,806,987.1945411,36,2.222222222,1,1,19.35,0.243767987,0.243767987,0.040888038,0.040888038,32.85,0.260025318,0.260025318,0.040888038
CO,GRAND LAKE 1 NW,8720,71,36,632,996.4900663,37.1,2.833333333,1,1,12.70588235,0.306157166,0.306157166,0.043720313,0.043720313,25.05882353,0.330108385,0.330108385,0.043720313
CA,BOCA,5575,48,17,1018,996.9372077,42.8,6,1,1,2.833333333,0.6223576,0.6223576,0.043856553,0.043856553,8,0.665293983,0.665293983,0.043856553
MT,JACKSON,6480,63,43,641,997.2591317,36.3,2.388888889,1,1,18,0.262050586,0.262050586,0.043954641,0.043954641,26.37209302,0.273575863,0.273575863,0.043954641
CO,RUXTON PARK,9050,94,56,469,1000.959464,35.4,1.888888889,1,1,29.64705882,0.213081534,0.213081534,0.045082104,0.045082104,49.76470588,0.231239402,0.231239402,0.045082104
AK,COOPER LANDING 5 W,375,97,64,557,1001.759375,35,1.666666667,1,1,38.4,0.191278083,0.191278083,0.04532583,0.04532583,58.2,0.205356319,0.205356319,0.04532583
WY,BOULDER REARING STN,6940,86,55,863,1002.642828,35.5,1.944444444,1,1,28.28571429,0.218877092,0.218877092,0.045595012,0.045595012,44.22857143,0.233977398,0.233977398,0.045595012
AK,TALKEETNA AP,345,134,106,736,1005.60869,33.9,1.055555556,1,1,100.4210526,0.132602621,0.132602621,0.046498687,0.046498687,126.9473684,0.140838636,0.140838636,0.046498687
OR,CHEMULT,4760,42,18,1134,1011.031618,43.2,6.222222222,1,1,2.892857143,0.646798341,0.646798341,0.048151011,0.048151011,6.75,0.681083046,0.681083046,0.048151011
OR,CRATER LAKE NATL PARK HQ,6475,78,38,536,1019.234839,37.6,3.111111111,1,1,12.21428571,0.337622627,0.337622627,0.050650469,0.050650469,25.07142857,0.367973745,0.367973745,0.050650469
MT,BIG SKY 2 WNW,6590,68,37,806,1020.679842,37.8,3.222222222,1,1,11.48275862,0.34892885,0.34892885,0.05109075,0.05109075,21.10344828,0.373001413,0.373001413,0.05109075
WY,SAGE 4 NNW,6210,66,33,1120,1020.746843,38.5,3.611111111,1,1,9.138461538,0.38768921,0.38768921,0.051111165,0.051111165,18.27692308,0.41622348,0.41622348,0.051111165
ID,GROUSE,6137,72,46,870,1021.540117,36.7,2.611111111,1,1,17.61702128,0.288282602,0.288282602,0.051352869,0.051352869,27.57446809,0.304872934,0.304872934,0.051352869
CO,WALDEN,8120,75,40,785,1024.776436,37.5,3.055555556,1,1,13.09090909,0.333023953,0.333023953,0.052338951,0.052338951,24.54545455,0.359077009,0.359077009,0.052338951
UT,RANDOLPH,6270,66,42,949,1026.718377,37.3,2.944444444,1,1,14.26415094,0.322298227,0.322298227,0.052930645,0.052930645,22.41509434,0.339382222,0.339382222,0.052930645
MT,POLEBRIDGE,3520,77,34,876,1031.111039,38.7,3.722222222,1,1,9.134328358,0.400479041,0.400479041,0.054269055,0.054269055,20.68656716,0.439307863,0.439307863,0.054269055
CO,VAIL,8270,98,61,618,1032.804968,35.8,2.111111111,1,1,28.89473684,0.240726363,0.240726363,0.054785182,0.054785182,46.42105263,0.2606784,0.2606784,0.054785182
UT,SOLDIER SUMMIT,7470,85,53,746,1034.402941,36.4,2.444444444,1,1,21.68181818,0.273977991,0.273977991,0.055272072,0.055272072,34.77272727,0.293510679,0.293510679,0.055272072
MT,BOZEMAN 12 NE,5950,74,35,716,1036.310496,38.7,3.722222222,1,1,9.402985075,0.401341828,0.401341828,0.055853289,0.055853289,19.88059701,0.436480735,0.436480735,0.055853289
